"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent","participants_original","country_iso","city","nace_code","entity_type","employees_last_value","total_assets_eur","total_assets_usd","n_companies_group","n_shareholders","n_subsidiaries","roa","rd_ratio","export_ratio","export_revenue","long_term_debt","is_guo","is_controlled_sub","size_classification","orbis_match_type","participants_std","assignee","total_applications","granted_patents","avg_ipc_scope","avg_team_size","grant_success_rate","total_ipc_mentions","tech_specialist_hhi","patent_match_type"
"Broadcom Inc","3674","2020-01-23",NA,"Manufactures,wholesales optoelectronics components","United States","APPLE INC/BROADCOM INC-STRATEGIC ALLIANCE",5099,"United States","Completed/Signed","Strategic Alliance",NA,3507010045,"United States","Americas","Broadcom Inc","US","PALO ALTO",2611,"GUO",37000,152219314.952763,165645000,536,4446,256,3.559,18.052,NA,NA,60921727.0958582,1,0,"Very large company","matched","BROADCOM","BROADCOM CORPORATION",10923,10942,1.08974593310181,2.45850849936026,1.00173944886936,11924,0.617655303447609,"fuzzy"
"ImmersiveTouch Inc","3841","2020-03-05",NA,"Surgical and Medical Instrument Manufacturing","United States","IMMERSIVETOUCH INC/HP INC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3523100045,"United States","Americas","ImmersiveTouch Inc","US","WESTMONT",8552,"Independent co",20,NA,NA,0,2,0,NA,NA,NA,NA,NA,0,0,"Large company","matched","IMMERSIVETOUCH","IMMERSIVETOUCH, INC.",5,5,1.4,3.8,1,7,0.591836734693878,"exact"
"HP Inc","3571","2020-03-05",NA,"Electronic Computer Manufacturing","United States","IMMERSIVETOUCH INC/HP INC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3523100045,"United States","Americas","HP Inc","US","PALO ALTO",2620,"GUO",58000,36151111.5848942,41769000,540,1355,445,6.055,2.897,NA,NA,7634584.38771222,1,0,"Very large company","matched","HP","HP INC.",1,1,1,1,1,1,1,"exact"
"Apple Inc","3571","2020-04-10",NA,"Electronic Computer Manufacturing","United States","APPLE INC/GOOGLE LLC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3554598045,"United States","Americas","Apple Inc","US","CUPERTINO",2620,"GUO",164000,305971309.417227,359241000,130,5957,81,31.18,8.302,NA,NA,66713211.2538172,1,0,"Very large company","matched","APPLE","APPLE INC.",35464,35595,1.13906447534766,4.90189633375474,1.0036938867584,40544,0.427966942401026,"exact"
"Google LLC","7375","2020-04-10",NA,"Provides internet search engine services","United States","APPLE INC/GOOGLE LLC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3554598045,"United States","Americas","Google LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","GOOGLE","GOOGLE LLC",29117,29260,1.22552973342447,3.15006835269993,1.00491122024934,35859,0.512428823159943,"exact"
"Google Cloud Platform","7372","2020-04-16",NA,"Develops cloud computing services platform","United States","GOOGLE CLOUD PLATFORM/MEDIAKIND INC-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3559301045,"United States","Americas","Google Cloud Platform","US",NA,6420,"Branch location",3,NA,NA,605,1,0,NA,NA,NA,NA,NA,0,0,"Very large company","matched","GOOGLE CLOUD PLATFORM",NA,0,0,0,0,0,0,0,"unmatched"
"Mediakind Inc","3571","2020-04-16",NA,"Electronic Computer Manufacturing","United States","GOOGLE CLOUD PLATFORM/MEDIAKIND INC-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3559301045,"United States","Americas","Mediakind Inc","US","FRISCO",6201,"Single location",75,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Very large company","matched","MEDIAKIND",NA,0,0,0,0,0,0,0,"unmatched"
"Dell Technologies Inc","3571","2020-04-21",NA,"Manufactures electronic computers","United States","APTEC DISTRIBUTION FZE LLC/DELL TECHNOLOGIES INC-STRATEGIC ALLIANCE",8742,"Pakistan","Completed/Signed","Strategic Alliance",NA,3564711045,"United States","Americas","Dell Technologies Inc","US","ROUND ROCK",2620,"Controlled subs.",108000,76730485.4670319,79746000,715,1625,402,5.758,3.078,NA,NA,18630807.6906445,0,1,"Very large company","matched","DELL TECHNOLOGY",NA,0,0,0,0,0,0,0,"unmatched"
"SendtoNews Video Inc","7313","2020-04-30",NA,"Media Representatives","Canada","SENDTONEWS VIDEO INC/SPORTSGRID INC-STRATEGIC ALLIANCE",3571,"United States","Completed/Signed","Strategic Alliance",NA,3571472045,"Canada","Americas","SendtoNews Video Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","SENDTONEWS VIDEO",NA,0,0,0,0,0,0,0,"unmatched"
"Sportsgrid Inc","3571","2020-04-30",NA,"Electronic Computer Manufacturing","United States","SENDTONEWS VIDEO INC/SPORTSGRID INC-STRATEGIC ALLIANCE",3571,"United States","Completed/Signed","Strategic Alliance",NA,3571472045,"United States","Americas","Sportsgrid Inc","US","BROOKLYN",6020,"Independent co",4,NA,NA,0,0,1,NA,NA,NA,NA,NA,0,0,"Medium sized company","matched","SPORTSGRID",NA,0,0,0,0,0,0,0,"unmatched"
"Neurologylive","3571","2020-05-20",NA,"Electronic Computer Manufacturing","United States","NEUROLOGYLIVE/CURE SMA-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3578236045,"United States","Americas","Neurologylive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","NEUROLOGYLIVE",NA,0,0,0,0,0,0,0,"unmatched"
"Cure Sma","8099","2020-05-20",NA,"All Other Miscellaneous Ambulatory Health Care Services","United States","NEUROLOGYLIVE/CURE SMA-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3578236045,"United States","Americas","Cure Sma","US","ELK GROVE VILLAGE",7490,"Single location",8,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Large company","matched","CURE SMA",NA,0,0,0,0,0,0,0,"unmatched"
"Oechsler AG","3714","2020-06-04",NA,"Motor Vehicle Brake System Manufacturing","Germany","OECHSLER AG/HP INC-STRATEGIC ALLIANCE",2721,"United States","Completed/Signed","Strategic Alliance",NA,3584738045,"Germany","Europe","Oechsler AG","DE","ANSBACH",2229,"GUO",2690,398130,439933.847436905,9,1,7,1.439,4.572,NA,NA,69216,1,0,"Very large company","matched","OECHSLER","OECHSLER AG",24,24,1.29166666666667,2,1,31,0.31321540062435,"exact"
"HP Inc","3571","2020-06-04",NA,"Electronic Computer Manufacturing","United States","OECHSLER AG/HP INC-STRATEGIC ALLIANCE",2721,"United States","Completed/Signed","Strategic Alliance",NA,3584738045,"United States","Americas","HP Inc","US","PALO ALTO",2620,"GUO",58000,36151111.5848942,41769000,540,1355,445,6.055,2.897,NA,NA,7634584.38771222,1,0,"Very large company","matched","HP","HP INC.",1,1,1,1,1,1,1,"exact"
"Anaconda Inc","7372","2020-06-04",NA,"Software Publishers","United States","ANACONDA INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3584255045,"United States","Americas","Anaconda Inc","US","AUSTIN",6201,"GUO",12,NA,NA,4,2,3,NA,NA,NA,NA,NA,1,0,"Large company","matched","ANACONDA","ANACONDA, INC.",1,1,2,5,1,2,0.5,"exact"
"IBM Corp","3571","2020-06-04",NA,"Manufacture computer products","United States","ANACONDA INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3584255045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"SAP SE","7372","2020-06-23",NA,"Software Publishers","Germany","SAP SE/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3593394045,"Germany","Europe","SAP SE","DE","WALLDORF",5829,"GUO",109121,74122000,77005311.7706776,479,199,507,4.215,19.06,NA,NA,7169000,1,0,"Very large company","matched","SAP SE","SAP SE",5439,5441,1.17515162653924,3.1315934570851,1.00036771465343,6394,0.678109726930618,"exact"
"IBM Corp","3571","2020-06-23",NA,"Manufacture computer products","United States","SAP SE/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3593394045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"IBM Corp","3571","2020-06-25",NA,"Manufacture computer products","United States","INTERNATIONAL BUSINESS/AELTC GROUP-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3594792045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Aeltc Grp","7941","2020-06-25",NA,"Sports Teams and Clubs","United Kingdom","INTERNATIONAL BUSINESS/AELTC GROUP-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3594792045,"United Kingdom","Europe","Aeltc Grp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","AELTC GRP",NA,0,0,0,0,0,0,0,"unmatched"
"Mitek Systems Inc","3577","2020-07-09",NA,"Manufacture ADR products","United States","MITEK SYSTEMS INC/KYS-TECH-STRATEGIC ALLIANCE",7375,"United States","Completed/Signed","Strategic Alliance",NA,3600736045,"United States","Americas","Mitek Systems Inc","US","SAN DIEGO",2620,"GUO",630,369554.246747645,413753,14,235,11,0.792,20.131,NA,NA,130404.588194896,1,0,"Very large company","matched","MITEK SYSTEM","MITEK SYSTEMS, INC.",78,78,1.32051282051282,2.64102564102564,1,103,0.627863135073994,"exact"
"Kys-Tech","3571","2020-07-09",NA,"Electronic Computer Manufacturing","United States","MITEK SYSTEMS INC/KYS-TECH-STRATEGIC ALLIANCE",7375,"United States","Completed/Signed","Strategic Alliance",NA,3600736045,"United States","Americas","Kys-Tech","US","CAMDEN",NA,"Single location",3,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Small company","matched","KYS-TECH",NA,0,0,0,0,0,0,0,"unmatched"
"Abaco Systems Inc","3571","2020-07-14",NA,"Manufactures rugged embedded systems","United States","ABACO SYSTEMS INC/REDARC ELECTRONICS PTY LTD-STRATEGIC ALLIANCE",1731,"Australia","Completed/Signed","Strategic Alliance",NA,3610139045,"United States","Americas","Abaco Systems Inc","US","EL PASO",7490,"Controlled subs.",7,NA,NA,2,1,0,NA,NA,NA,NA,NA,0,1,"Large company","matched","ABACO SYSTEM","ABACO SYSTEMS, INC.",5,5,2,2.4,1,10,0.36,"exact"
"Redarc Electronics Pty Ltd","3679","2020-07-14",NA,"Other Electronic Component Manufacturing","Australia","ABACO SYSTEMS INC/REDARC ELECTRONICS PTY LTD-STRATEGIC ALLIANCE",1731,"Australia","Completed/Signed","Strategic Alliance",NA,3610139045,"Australia","Oceania","Redarc Electronics Pty Ltd","AU","ADELAIDE",2611,"GUO",15,NA,NA,4,2,2,NA,NA,NA,NA,NA,1,0,"Medium sized company","matched","REDARC ELECTRONIC",NA,0,0,0,0,0,0,0,"unmatched"
"Metamaterial Inc","3674","2020-07-21",NA,"Semiconductor and Related Device Manufacturing","Canada","METAMATERIAL INC/ADI TECHNOLOGIES INC-STRATEGIC ALLIANCE",9711,"Supranational","Completed/Signed","Strategic Alliance",NA,3613034045,"Canada","Americas","Metamaterial Inc","CA","TORONTO",2651,"Controlled subs.",NA,8253.2579593934,10127.5670599937,17,2,0,NA,33.376,NA,NA,3687.34266895479,0,1,"Medium sized company","matched","METAMATERIAL",NA,0,0,0,0,0,0,0,"unmatched"
"ADI Technologies Inc","3571","2020-07-21",NA,"Mnfr computer imaging hardware","United States","METAMATERIAL INC/ADI TECHNOLOGIES INC-STRATEGIC ALLIANCE",9711,"Supranational","Completed/Signed","Strategic Alliance",NA,3613034045,"United States","Americas","ADI Technologies Inc","US","CHANTILLY",7022,"Independent co",10,NA,NA,0,1,0,NA,NA,NA,NA,NA,0,0,"Medium sized company","matched","ADI TECHNOLOGY","ADI TECHNOLOGIES, INC.",1,1,6,1,1,6,0.166666666666667,"exact"
"ARHT Media Inc","3679","2020-07-23",NA,"Other Electronic Component Manufacturing","Canada","ARHT MEDIA INC/TLC CREATIVE-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3619680045,"Canada","Americas","ARHT Media Inc","CA","TORONTO",2611,"GUO",NA,2361.07650854163,2608.99071282148,5,6,4,NA,0,NA,NA,1353.57465060366,1,0,"Very large company","matched","ARHT MEDIA","ARHT MEDIA INC.",3,3,2,1,1,6,0.5,"exact"
"Tlc Creative","3571","2020-07-23",NA,"Electronic Computer Manufacturing","United States","ARHT MEDIA INC/TLC CREATIVE-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3619680045,"United States","Americas","Tlc Creative","US","MARINA DEL REY",9002,"Single location",10,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Medium sized company","matched","TLC CREATIVE",NA,0,0,0,0,0,0,0,"unmatched"
"Super Micro Computer Inc","3571","2020-07-28",NA,"Mnfr motherboard,server sys","United States","SUPER MICRO COMPUTER INC/SCALITY INC-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3614801045,"United States","Americas","Super Micro Computer Inc","US","SAN JOSE",2620,"GUO",6238,11961112.7284995,14018429,19,1020,18,7.482,2.897,NA,NA,3995385.12729798,1,0,"Very large company","matched","SUPER MICRO COMPUTER","SUPER MICRO COMPUTER, INC.",137,137,1.48905109489051,2.24087591240876,1,204,0.38437139561707,"exact"
"Scality Inc","7371","2020-07-28",NA,"Custom Computer Programming Services","United States","SUPER MICRO COMPUTER INC/SCALITY INC-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3614801045,"United States","Americas","Scality Inc","US","SAN FRANCISCO",6201,"GUO",11,NA,NA,4,13,3,NA,NA,NA,NA,NA,1,0,"Large company","matched","SCALITY","SCALITY, S.A.",15,15,1.13333333333333,5.26666666666667,1,17,0.792387543252595,"exact"
"Players Media Grp","3571","2020-07-30",NA,"Electronic Computer Manufacturing","United States","PLAYERS MEDIA GROUP/REACHTV-STRATEGIC ALLIANCE",7999,"","Completed/Signed","Strategic Alliance",NA,3621621045,"United States","Americas","Players Media Grp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","PLAYERS MEDIA GRP",NA,0,0,0,0,0,0,0,"unmatched"
"Reachtv","4833","2020-07-30",NA,"Television Broadcasting","United States","PLAYERS MEDIA GROUP/REACHTV-STRATEGIC ALLIANCE",7999,"","Completed/Signed","Strategic Alliance",NA,3621621045,"United States","Americas","Reachtv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","REACHTV",NA,0,0,0,0,0,0,0,"unmatched"
"SteelCloud inc","3571","2020-07-31",NA,"Pvd network sec software svcs","United States","STEELCLOUD INC/DLT SOLUTIONS LLC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3617116045,"United States","Americas","SteelCloud inc","US","ASHBURN",2620,"GUO",15,383.182612679009,567.11,2,0,1,NA,15.35,NA,NA,0,1,0,"Medium sized company","matched","STEELCLOUD","STEELCLOUD, LLC.",19,19,1.52631578947368,2,1,29,0.500594530321046,"exact"
"DLT Solutions LLC","7373","2020-07-31",NA,"Computer Systems Design Services","United States","STEELCLOUD INC/DLT SOLUTIONS LLC-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3617116045,"United States","Americas","DLT Solutions LLC","US","CLEARWATER",NA,"GUO",4,NA,NA,2,0,1,NA,NA,NA,NA,NA,1,0,"Small company","matched","DLT SOLUTIONS",NA,0,0,0,0,0,0,0,"unmatched"
"Fortinet Inc","7371","2020-08-18",NA,"Network security company","United States","FORTINET INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3623697045,"United States","Americas","Fortinet Inc","US","SUNNYVALE",2620,"GUO",14138,9397540.00808498,9763100,92,1676,86,17.875,12.035,NA,NA,957070.400798814,1,0,"Very large company","matched","FORTINET","FORTINET, INC.",873,873,1.37800687285223,2.28293241695304,1,1203,0.525532248624767,"exact"
"IBM Corp","3571","2020-08-18",NA,"Manufacture computer products","United States","FORTINET INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3623697045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Compaq Computer Corp(Hewlett)","3571","2020-08-27",NA,"Manufacture personal computers","United States","COMPAQ COMPUTER CORP/FLIPKART INTERNET PVT LTD-STRATEGIC ALLIANCE",5099,"India","Completed/Signed","Strategic Alliance",NA,3627683045,"United States","Americas","Compaq Computer Corp(Hewlett)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","COMPAQ COMPUTER CORP(HEWLETT)",NA,0,0,0,0,0,0,0,"unmatched"
"Flipkart Internet Pvt Ltd","5961","2020-08-27",NA,"Provide online ecommerce retail services","India","COMPAQ COMPUTER CORP/FLIPKART INTERNET PVT LTD-STRATEGIC ALLIANCE",5099,"India","Completed/Signed","Strategic Alliance",NA,3627683045,"India","Asia","Flipkart Internet Pvt Ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","FLIPKART INTERNET PVT",NA,0,0,0,0,0,0,0,"unmatched"
"Ta Digital Solutions Inc","3571","2020-09-08",NA,"Electronic Computer Manufacturing","United States","TA DIGITAL SOLUTIONS INC/SAP SE-STRATEGIC ALLIANCE",8742,"Supranational","Completed/Signed","Strategic Alliance",NA,3633662045,"United States","Americas","Ta Digital Solutions Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","TA DIGITAL SOLUTIONS",NA,0,0,0,0,0,0,0,"unmatched"
"SAP SE","7372","2020-09-08",NA,"Software Publishers","Germany","TA DIGITAL SOLUTIONS INC/SAP SE-STRATEGIC ALLIANCE",8742,"Supranational","Completed/Signed","Strategic Alliance",NA,3633662045,"Germany","Europe","SAP SE","DE","WALLDORF",5829,"GUO",109121,74122000,77005311.7706776,479,199,507,4.215,19.06,NA,NA,7169000,1,0,"Very large company","matched","SAP SE","SAP SE",5439,5441,1.17515162653924,3.1315934570851,1.00036771465343,6394,0.678109726930618,"exact"
"IBM Corp","3571","2020-09-10",NA,"Manufacture computer products","United States","INTERNATIONAL BUSINESS/PMSQUARE PTY LTD-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3633762045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"PMSquare Pty Ltd","8742","2020-09-10",NA,"Administrative Management and General Management Consulting Services","Australia","INTERNATIONAL BUSINESS/PMSQUARE PTY LTD-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3633762045,"Australia","Oceania","PMSquare Pty Ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","PMSQUARE",NA,0,0,0,0,0,0,0,"unmatched"
"Lumina Analytics LLC","7389","2020-09-14",NA,"All Other Information Services","United States","LUMINA ANALYTICS LLC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3636380045,"United States","Americas","Lumina Analytics LLC","US",NA,NA,"Single location",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Small company","matched","LUMINA ANALYTICS",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2020-09-14",NA,"Manufacture computer products","United States","LUMINA ANALYTICS LLC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3636380045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Commercetools GmbH","7372","2020-10-06",NA,"Software Publishers","Germany","COMMERCETOOLS GMBH/TA DIGITAL SOLUTIONS INC-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3647351045,"Germany","Europe","Commercetools GmbH","DE","MUENCHEN",6201,"Controlled subs.",261,NA,NA,6,18,5,NA,NA,NA,NA,NA,0,1,"Large company","matched","COMMERCETOOLS","COMMERCETOOLS GMBH",1,1,1,1,1,1,1,"exact"
"Ta Digital Solutions Inc","3571","2020-10-06",NA,"Electronic Computer Manufacturing","United States","COMMERCETOOLS GMBH/TA DIGITAL SOLUTIONS INC-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3647351045,"United States","Americas","Ta Digital Solutions Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","TA DIGITAL SOLUTIONS",NA,0,0,0,0,0,0,0,"unmatched"
"PlayAGS Inc","3571","2020-10-06",NA,"Electronic Computer Manufacturing","United States","PLAYAGS INC/BETMGM-STRATEGIC ALLIANCE",7999,"United States","Completed/Signed","Strategic Alliance",NA,3645520045,"United States","Americas","PlayAGS Inc","US","LAS VEGAS",3299,"Controlled subs.",916,683022.729401219,709592,35,9,26,7.278,11.819,NA,NA,510525.781482127,0,1,"Very large company","matched","PLAYAGS",NA,0,0,0,0,0,0,0,"unmatched"
"Betmgm LLC","7999","2020-10-06",NA,"Other Gambling Industries","United States","PLAYAGS INC/BETMGM-STRATEGIC ALLIANCE",7999,"United States","Completed/Signed","Strategic Alliance",NA,3645520045,"United States","Americas","Betmgm LLC","US","JERSEY CITY",9329,"Independent co",140,NA,NA,0,1,0,NA,NA,NA,NA,NA,0,0,"Very large company","matched","BETMGM",NA,0,0,0,0,0,0,0,"unmatched"
"GrandPAD Inc","3571","2020-10-15",NA,"Electronic Computer Manufacturing","United States","GRANDPAD INC/ORANGE BELGIUM NV/TELEFONAKTIEBOLAGET LM ERICSSON-STRATEGIC~ALLIANCE",4812,"United States","Completed/Signed","Strategic Alliance",NA,3649610045,"United States","Americas","GrandPAD Inc","US","HOPKINS",9412,"Single location",10,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Large company","matched","GRANDPAD","GRANDPAD, INC.",1,1,1,5,1,1,1,"exact"
"Orange Belgium SA","4813","2020-10-15",NA,"Telecommunications services","Belgium","GRANDPAD INC/ORANGE BELGIUM NV/TELEFONAKTIEBOLAGET LM ERICSSON-STRATEGIC~ALLIANCE",4812,"United States","Completed/Signed","Strategic Alliance",NA,3649610045,"Belgium","Europe","Orange Belgium SA","BE","BRUSSEL",6190,"Controlled subs.",2965,4076290,4234855.80958009,410,12,10,0.543,0,NA,NA,2037352,0,1,"Very large company","matched","ORANGE BELGIUM",NA,0,0,0,0,0,0,0,"unmatched"
"Telefonaktiebolaget LM","4812","2020-10-15",NA,"Provides telecommunications services","Sweden","GRANDPAD INC/ORANGE BELGIUM NV/TELEFONAKTIEBOLAGET LM ERICSSON-STRATEGIC~ALLIANCE",4812,"United States","Completed/Signed","Strategic Alliance",NA,3649610045,"Sweden","Europe","Telefonaktiebolaget LM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","TELEFONAKTIEBOLAGET LM",NA,0,0,0,0,0,0,0,"unmatched"
"HP Inc","3571","2020-11-10",NA,"Electronic Computer Manufacturing","United States","HP INC/WIPRO LTD-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3665052045,"United States","Americas","HP Inc","US","PALO ALTO",2620,"GUO",58000,36151111.5848942,41769000,540,1355,445,6.055,2.897,NA,NA,7634584.38771222,1,0,"Very large company","matched","HP","HP INC.",1,1,1,1,1,1,1,"exact"
"Wipro Ltd","7371","2020-11-10",NA,"Provide information technology services","India","HP INC/WIPRO LTD-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3665052045,"India","Asia","Wipro Ltd","IN","BANGALORE",6201,"GUO",NA,13899870.3673359,15032705.5736259,259,59,264,10.21,0,NA,NA,930752.8313084,1,0,"Very large company","matched","WIPRO","WIPRO LIMITED",839,839,1.30512514898689,2.10488676996424,1,1095,0.462578344905236,"exact"
"IBM Corp","3571","2020-11-23",NA,"Manufacture computer products","United States","INTERNATIONAL BUSINESS/ALABAMA STATE UNIVERSITY-STRATEGIC ALLIANCE",8299,"United States","Completed/Signed","Strategic Alliance",NA,3664729045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Alabama State University","8221","2020-11-23",NA,"College/University","United States","INTERNATIONAL BUSINESS/ALABAMA STATE UNIVERSITY-STRATEGIC ALLIANCE",8299,"United States","Completed/Signed","Strategic Alliance",NA,3664729045,"United States","Americas","Alabama State University","US","MONTGOMERY",8541,"GUO",170,NA,NA,2,1,1,NA,NA,NA,NA,NA,1,0,"Very large company","matched","ALABAMA STATE UNIVERSITY","ALABAMA STATE UNIVERSITY",3,3,2,3.66666666666667,1,6,0.388888888888889,"exact"
"Telekom Austria AG","4813","2020-12-22",NA,"Wired Telecommunications Carriers","Austria","TELEKOM AUSTRIA AG/ULTRA 4K EXTREME LLC-STRATEGIC ALLIANCE",4833,"Austria","Completed/Signed","Strategic Alliance",NA,3678947045,"Austria","Europe","Telekom Austria AG","AT","VIENNA",6190,"Controlled subs.",17298,9853854,10237164.3967073,1218,39,48,6.352,0,NA,NA,2333465,0,1,"Very large company","matched","TELEKOM AUSTRIA","TELEKOM AUSTRIA AKTIENGESELLSCHAFT",2,2,1,2,1,2,0.5,"exact"
