"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent"
"IBM Corp","3571","2017-01-12","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/SOCIETE DES AUTEURS ET COMPOSITEURS DRAMATIQUES~SC-STRATEGIC ALLIANCE","7375","France","Completed/Signed","Strategic Alliance",NA,3060188045,"United States","Americas"
"SACEM","7929","2017-01-12","","Musical Groups and Artists","France","INTERNATIONAL BUSINESS/SOCIETE DES AUTEURS ET COMPOSITEURS DRAMATIQUES~SC-STRATEGIC ALLIANCE","7375","France","Completed/Signed","Strategic Alliance",NA,3060188045,"France","Europe"
"Volanti Displays Inc","3577","2017-03-08","","Other Computer Peripheral Equipment Manufacturing","United States","VOLANTI DISPLAYS INC/HP INC-STRATEGIC ALLIANCE","3577","United States","Completed/Signed","Strategic Alliance",NA,3084382045,"United States","Americas"
"HP Inc","3571","2017-03-08","","Electronic Computer Manufacturing","United States","VOLANTI DISPLAYS INC/HP INC-STRATEGIC ALLIANCE","3577","United States","Completed/Signed","Strategic Alliance",NA,3084382045,"United States","Americas"
"Ingram Micro NZ - Connector","5045","2017-04-20","","Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","New Zealand","INGRAM MICRO NZ LTD - CONNECTOR SYSTEMS HOLDING LTD/LANTRONIX INC-STRATEGIC~ALLIANCE","5099","New Zealand","Completed/Signed","Strategic Alliance",NA,3096607045,"New Zealand","Oceania"
"Lantronix Inc","3571","2017-04-20","","Manufactures network device servers","United States","INGRAM MICRO NZ LTD - CONNECTOR SYSTEMS HOLDING LTD/LANTRONIX INC-STRATEGIC~ALLIANCE","5099","New Zealand","Completed/Signed","Strategic Alliance",NA,3096607045,"United States","Americas"
"Also Holding AG","5045","2017-04-26","","Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","Switzerland","ALSO HOLDING AG/HP INC-STRATEGIC ALLIANCE","3577","Supranational","Completed/Signed","Strategic Alliance",NA,3097917045,"Switzerland","Europe"
"HP Inc","3571","2017-04-26","","Electronic Computer Manufacturing","United States","ALSO HOLDING AG/HP INC-STRATEGIC ALLIANCE","3577","Supranational","Completed/Signed","Strategic Alliance",NA,3097917045,"United States","Americas"
"Bombardier Inc","3721","2017-05-16","","Manufactures aircraft, railroad equipment, rail vehicles and total transit systems","Canada","BOMBARDIER INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","7372","Canada","Completed/Signed","Strategic Alliance",NA,3104648045,"Canada","Americas"
"IBM Corp","3571","2017-05-16","","Manufacture computer products","United States","BOMBARDIER INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","7372","Canada","Completed/Signed","Strategic Alliance",NA,3104648045,"United States","Americas"
"Ariba Inc","7372","2017-05-17","","Software Reproducing","United States","ARIBA INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,3106658045,"United States","Americas"
"IBM Corp","3571","2017-05-17","","Manufacture computer products","United States","ARIBA INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,3106658045,"United States","Americas"
"Veeam Software AG (Now 9J7839)","7372","2017-05-17","","Dvlp server mgmt software","Switzerland","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE","7371","Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"Switzerland","Europe"
"Lenovo Group Ltd","3571","2017-05-17","","Mnfr,wholesale computer prod","Hong Kong","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE","7371","Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"Hong Kong","Asia"
"IBM Corp","3571","2017-05-17","","Manufacture computer products","United States","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE","7371","Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"United States","Americas"
"Infinidat Inc","3572","2017-05-17","","Computer Storage Device Manufacturing","United States","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE","7371","Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"United States","Americas"
"Nokia Oyj","3663","2017-05-23","","Mnfr network infrastructure products","Finland","NOKIA OYJ/APPLE INC-STRATEGIC ALLIANCE","6794","United States~Finland","Completed/Signed","Strategic Alliance",NA,3167719045,"Finland","Europe"
"Apple Inc","3571","2017-05-23","","Electronic Computer Manufacturing","United States","NOKIA OYJ/APPLE INC-STRATEGIC ALLIANCE","6794","United States~Finland","Completed/Signed","Strategic Alliance",NA,3167719045,"United States","Americas"
