"participants_std","company_name","total_applications","granted_patents","employees_last_value","total_assets_eur","total_assets_usd","n_shareholders","n_subsidiaries","n_companies_group","country_iso","is_guo","is_controlled_sub","roa","rd_ratio","long_term_debt","size_classification","tech_specialist_hhi","avg_ipc_scope","grant_success_rate","n_deals","orbis_match_type","patent_match_type","partner_size_diversity","n_partners","avg_partner_size","max_partner_size","min_partner_size","degree","betweenness","closeness","eigenvector","n_total_deals","n_cross_continental_deals","cross_continental_share","n_continents_reached","partner_size_diversity_sq","ln_employees","ln_total_assets","ln_avg_partner_size","ln_long_term_debt","alliance_experience","tech_specialization","ln_subsidiaries","ln_shareholders","roa_clean","rd_ratio_clean"
"FUJITSU","Fujitsu Ltd",36171,36325,112743,21636473.3826814,23399839.3810764,182,333,295,"JP",1,0,6.636,2.81,619190.929178048,"Very large company",0.42593682541473,1.1005918788713,1.0042575543944,1,"matched","exact",0,1,1287,1287,1287,1,0,0.571428571428571,8.60891118330119e-18,1,1,1,1,0,11.6328750408713,16.8898910773516,7.1608459066643,13.3361705668995,1,0.42593682541473,5.8111409929767,5.20948615284142,6.636,2.81
"GOOGLE CLOUD PLATFORM","Google Cloud Platform",0,0,3,NA,NA,1,0,605,"US",0,0,NA,NA,NA,"Very large company",0,0,0,2,"matched","unmatched",0,2,75,75,75,2,0.000822811746347,0.36144578313253,3.85092322548701e-17,2,0,0,1,0,1.38629436111989,0,4.33073334028633,0,2,0,0,0.693147180559945,0,0
"GRANDPAD","GrandPAD Inc",1,1,10,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Large company",1,1,1,2,"matched","exact",0,3,2965,2965,2965,3,5.67456376791034e-05,1,2.56171642292182e-17,2,1,0.5,1,0,2.39789527279837,0,7.99496952269788,0,2,1,0,0,0,0
"HARRISON AUDIO","Harrison Audio LLC",0,0,6,NA,NA,1,0,28,"US",0,1,NA,NA,NA,"Medium sized company",0,0,0,1,"matched","unmatched",0,2,198,198,198,2,0,1,1.35978925757909e-17,1,1,1,1,0,1.94591014905531,0,5.29330482472449,0,1,0,0,0.693147180559945,0,0
"HP","HP Inc",1,1,58000,36151111.5848942,41769000,1355,445,540,"US",1,0,6.055,2.897,7634584.38771222,"Very large company",1,1,1,14,"matched","exact",0.967515091680502,14,1693.14285714286,4229,20,14,0.00801532132217336,0.483870967741935,1.33105476249798e-16,14,8,0.571428571428571,1,0.93608545262953,10.9682155307592,17.4032182829943,7.43493220290948,15.8481991909969,14,1,6.10031895202006,7.21229446850034,6.055,2.897
"HUMANA","Humana Inc",96,96,65680,44738685.6670301,46479000,1128,447,598,"US",1,0,2.612,NA,NA,"Very large company",0.371488033298647,1.29166666666667,1,1,"matched","exact",0,1,1684,1684,1684,1,0,0.571428571428571,7.80032259574667e-18,1,0,0,1,0,11.0925649693454,17.6163491588129,7.42952084278646,0,1,0.371488033298647,6.10479323241498,7.02908756414966,2.612,0
"IBM ","IBM Corp",73,73,293400,132038753.122375,137175000,3699,397,804,"US",1,0,4.391,11.918,48016192.1688102,"Very large company",0.504469556417608,1.05479452054795,1,69,"matched","exact",2.5763856949377,73,44447.6875,614082,2,73,0.0742800397219464,0.948051948051948,1,69,29,0.420289855072464,1,6.63776324907962,12.5892955530015,18.6986060292972,10.702090712947,17.6870488696634,69,0.504469556417608,5.98645200528444,8.21608809863232,4.391,11.918
"IMMERSION ","Immersion Corp",0,0,14,195231.586590568,215731,199,23,15,"US",1,0,15.749,0.828,0,"Very large company",0,0,0,1,"matched","unmatched",0,1,164000,164000,164000,1,0,0.479166666666667,3.38577600357994e-17,1,0,0,1,0,2.70805020110221,12.1819468785291,12.0076278043487,0,1,0,3.17805383034795,5.29831736654804,15.749,0.828
"IMMERSIVETOUCH","ImmersiveTouch Inc",5,5,20,NA,NA,2,0,0,"US",0,0,NA,NA,NA,"Large company",0.591836734693878,1.4,1,1,"matched","exact",0,1,58000,58000,58000,1,0,0.32967032967033,2.71694729905394e-17,1,0,0,1,0,3.04452243772342,0,10.9682155307592,0,1,0.591836734693878,0,1.09861228866811,0,0
"INCEDO","Incedo Inc",0,0,2,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Small company",0,0,0,1,"matched","unmatched",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,1.09861228866811,0,12.5892955530015,0,1,0,0,0,0,0
"INFINIDAT","Infinidat Inc",92,92,200,NA,NA,6,0,0,"US",0,0,NA,NA,NA,"Very large company",0.863490304709141,1.03260869565217,1,1,"matched","exact",0,3,293400,293400,293400,3,0,0.496598639455782,0.14327059471859,1,1,1,1,0,5.30330490805908,0,12.5892955530015,0,1,0.863490304709141,0,1.94591014905531,0,0
"INFLUENTIAL","Influential",0,0,60,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Large company",0,0,0,1,"matched","unmatched",0,1,12,12,12,1,0,1,4.97958249394265e-18,1,0,0,1,0,4.11087386417331,0,2.56494935746154,0,1,0,0,0,0,0
"INTERDIGITAL","InterDigital Inc",0,0,430,1766801.24279176,1835529,163,39,43,"US",1,0,19.537,15.061,14864.7673735654,"Very large company",0,0,0,1,"matched","unmatched",0,1,164000,164000,164000,1,0,0.479166666666667,3.9509124755182e-17,1,0,0,1,0,6.06610809010375,14.3846818281127,12.0076278043487,9.60681635694307,1,0,3.68887945411394,5.0998664278242,19.537,15.061
"IPOQUE","ipoque GmbH",0,0,6,35823.28297,38925.5730710659,2,0,90,"DE",0,1,-47.738,NA,0,"Large company",0,0,0,1,"matched","unmatched",1.41385783012247,2,55657,111300,14,2,0,0.545454545454545,2.80493672543612e-17,1,1,1,1,1.99899396379861,1.94591014905531,10.4863812377019,10.9269811019873,0,1,0,0,1.09861228866811,-47.738,0
"KYS-TECH","Kys-Tech",0,0,3,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Small company",0,0,0,1,"matched","unmatched",0,1,630,630,630,1,0,1,4.74691079812597e-18,1,0,0,1,0,1.38629436111989,0,6.44730586254121,0,1,0,0,0,0,0
"LEIDOS","Leidos Inc",121,122,63,NA,NA,1,0,295,"US",0,0,NA,NA,NA,"Large company",0.222962962962963,1.47540983606557,1.00826446280992,1,"matched","exact",0,1,1287,1287,1287,1,0,0.571428571428571,9.13253619721974e-18,1,0,0,1,0,4.15888308335967,0,7.1608459066643,0,1,0.222962962962963,0,0.693147180559945,0,0
"LIFARS","Lifars Llc",0,0,8,NA,NA,1,0,9,"US",0,1,NA,NA,NA,"Small company",0,0,0,1,"matched","unmatched",1.33121231492005,2,221.5,430,13,2,0,1,1.41878540960528e-17,1,0,0,1,1.77212622739479,2.19722457733622,0,5.4049271016063,0,1,0,0,0.693147180559945,0,0
"LIQUIDCOOL SOLUTIONS","LiquidCool Solutions Inc",18,18,5,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Large company",0.336742147552958,2.05555555555556,1,1,"matched","exact",0,1,3,3,3,1,0,1,5.38963583666555e-18,1,0,0,1,0,1.79175946922805,0,1.38629436111989,0,1,0.336742147552958,0,0,0,0
"LOS ANGELES FOOTBALL CLUB","Los Angeles Football Club",0,0,3,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Medium sized company",0,0,0,1,"matched","unmatched",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,1.38629436111989,0,12.5892955530015,0,1,0,0,0,0,0
"MATERIALISE","Materialise NV",85,85,2514,396336,411753.288442612,9,31,34,"BE",0,1,3.39,15.562,28287,"Very large company",0.310982401425707,1.57647058823529,1,1,"matched","exact",0,1,58000,58000,58000,1,0,0.32967032967033,2.39629827478388e-17,1,1,1,1,0,7.83002808253384,12.8900201384338,10.9682155307592,10.2501929654374,1,0.310982401425707,3.46573590279973,2.30258509299405,3.39,15.562
"MCLAREN TECHNOLOGY GROUP","Mclaren Technology Group Ltd",0,0,90,48360.9694518172,50242.1889610291,2,3,146,"GB",0,1,4.435,NA,3656.53754245162,"Very large company",0,0,0,1,"matched","unmatched",0,1,111300,111300,111300,1,0,0.521739130434783,2.24920834142844e-17,1,1,1,1,0,4.51085950651685,10.7864690287096,11.6199935219492,8.20454539735332,1,0,1.38629436111989,1.09861228866811,4.435,0
