"company_name","degree","betweenness","is_focal","n_deals","cross_continental_deals","n_continents","orbis_name","orbis_match_name","country_iso","city","nace_rev_2_core_code_4_digits_","consolidation_code","last_avail_year","country","address_type","peer_group_size","main_customers","main_distribution_sites","information_provider","information_provider_collection_date","size_class","employees_last_value","current_assets_usd","n_companies_group","entity_type","n_shareholders","n_subsidiaries","roa_net_income","total_assets_eur","total_assets_th_eur_last_avail_value","rnd_over_operating","export_over_operating","long_term_debt_eur","is_guo","num_pat","partner_size_diversity","partner_diversity_sq"
"ACER",6,20,TRUE,6,0.5,1,"ACER","ACER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526,1.38117118942045,1.90763385448511
"HTC ",11,55,TRUE,11,0.727272727272727,1,"HTC ","HTC ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2307,2.03146435629913,4.12684743091384
"CROSSROADS SYS",1,0,FALSE,1,1,1,NA,"CROSSROADS SYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"ADVANTECH ",9,35,TRUE,8,0.75,1,"ADVANTECH ","ADVANTECH ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.56721745868104,2.45617056279466
"EINFOCHIPS",2,0,FALSE,1,1,1,"EINFOCHIPS","EINFOCHIPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"TWINHEAD INTERNATIONAL ",1,0,TRUE,1,1,1,"TWINHEAD INTERNATIONAL ","TWINHEAD INTERNATIONAL ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0
"AAEON TECHNOLOGY",1,0,TRUE,1,1,1,"AAEON TECHNOLOGY","AAEON TECHNOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0
"INFOCOMMUN MEDIA DVLP",3,0,TRUE,1,0,1,NA,"INFOCOMMUN MEDIA DVLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"KEPPEL DATA CNTRS HLDG",3,0,FALSE,1,0,1,NA,"KEPPEL DATA CNTRS HLDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"CMC ",1,0,TRUE,1,1,1,"CMC ","CMC ","VN","HANOI","6201","C1","2024","Vietnam","Registered address / Incorporation address / Legal address","117237",NA,NA,"World'Vest Base Inc.",NA,"Very large company",4856,152655.266649477,23,"GUO",13,30,4.541,285804.533820833,"285804.53382083302",0,NA,32531.3715195873,1,11,0,0
"LANNER ELECTRONIC",7,21,TRUE,8,0.75,1,"LANNER ELECTRONIC","LANNER ELECTRONIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1.7804221469132,3.169903021219
"GREEN GOLD ANIMATION PVT",1,0,FALSE,1,0,1,NA,"GREEN GOLD ANIMATION PVT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"GIGABYTE TECHNOLOGY ",3,3,TRUE,3,1,1,"GIGABYTE TECHNOLOGY ","GIGABYTE TECHNOLOGY ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LEMMA TECH",2,1,TRUE,2,0.5,1,NA,"LEMMA TECH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"AEQUILIBRIUM SOFTWARE",1,0,FALSE,1,1,1,NA,"AEQUILIBRIUM SOFTWARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"BUDDY TECHNOLOGY",1,0,FALSE,1,1,1,"BUDDY TECHNOLOGY","BUDDY TECHNOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"INTEK",2,0,FALSE,1,1,1,"INTEK","INTEK","US","ARLINGTON","7022","LF","2024","United States of America","Registered address / Incorporation address / Legal address","421727",NA,NA,"Cortera",NA,"Medium sized company",15,NA,2,"Controlled subs.",1,0,NA,NA,NA,NA,NA,NA,0,2,0,0
"MINERVA GROUP",2,0,FALSE,1,1,1,"MINERVA GROUP","MINERVA GROUP","DK","AARHUS N","6201","U2","2024","Denmark","Registered address / Incorporation address / Legal address","1741240",NA,NA,"Experian",NA,"Medium sized company",14,4057.17583447695,12,"Controlled subs.",2,5,7.65,7332.9463766797,"7332.9463766796998",NA,NA,0,0,0,0,0
"MCAFEE ",1,0,FALSE,1,1,1,"MCAFEE ","MCAFEE ","US","SAN JOSE","5829","C1","2021","United States of America","Registered address / Incorporation address / Legal address","77611",NA,NA,"Refinitiv",NA,"Very large company",2262,1243000,9,"Controlled subs.",1,11,24.81,3021365.9465274,"3021365.9465274001",9.583,NA,2526928.50349544,0,0,0,0
"MITAC INTERNATIONAL ",2,1,TRUE,2,1,1,"MITAC HOLDING ","MITAC HOLDING ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0,0
"COMPAQ COMPUTER (INDIA) PVT",2,1,TRUE,2,0.5,1,"COMPAQ COMPUTER (INDIA) PVT.","COMPAQ COMPUTER (INDIA) PVT.","IN","KARNATAKA","2620","U1","2001","India","Registered address / Incorporation address / Legal address","137550",NA,NA,"CMIE",NA,"Very large company",2593,82516.4745491222,0,"Single location",0,0,NA,103216.318570791,"103216.318570791",NA,NA,NA,0,0,1.38762571160405,1.92550511550464
"INSPUR ELECTN INFO IND ",1,0,TRUE,1,1,1,"IEIT SYSTEM ","IEIT SYSTEM ","CN","JINAN","2620","C1","2024","China","Registered address / Incorporation address / Legal address","6920","Government; enterprises; and industrial customers",NA,"World'Vest Base Inc.",NA,"Very large company",6968,9124784.72672221,42,"GUO",38,46,3.219,9388074.70734844,"9388074.7073484398",3.046,NA,769129.895171279,1,0,0,0
"CASIO COMPUTER ",1,0,FALSE,1,0,1,"CASIO COMPUTER ","CASIO COMPUTER ","JP","SHIBUYA","2640","C2","2024","Japan","Registered address / Incorporation address / Legal address","2399",NA,NA,"World'Vest Base Inc.",NA,"Very large company",8801,1578023.81169191,43,"GUO",44,42,2.432,2051458.10705619,"2051458.10705619",1.629,NA,287388.716979142,1,3430,0,0
"GREAT WALL TECHNOLOGY ",1,0,TRUE,1,0,1,"GREAT WALL TECHNOLOGY ","GREAT WALL TECHNOLOGY ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"TAKENAKA ",1,0,FALSE,1,0,1,"TAKENAKA ","TAKENAKA ","JP","OSAKA SHI CHUO KU","4120","C2","2024","Japan","Registered address / Incorporation address / Legal address","395617",NA,NA,"Teikoku",NA,"Very large company",13598,6806581.64203679,57,"GUO",10,131,2.686,12845032.6762352,"12845032.676235201",NA,NA,315754.331075458,1,16,0,0
"CEYCOM TELEMEDICINE",1,0,TRUE,1,1,1,"CEYCOM TELEMEDICINE","CEYCOM TELEMEDICINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"VIGNETTE ",1,0,FALSE,1,1,1,"VIGNETTE ","VIGNETTE ","US","AUSTIN","5829","C1","2008","United States of America","Registered address / Incorporation address / Legal address","77611","Successful organisations in the entertainment; financial services; government; healthcare; high technology; higher education; life sciences; manufacturing; new media and publishing; retail; telecom and travel industries","Austin","Refinitiv",NA,"Very large company",643,169632,501,"Controlled subs.",1,2,-1.934,233127.22562183,"233127.22562183",19.366,NA,0,0,39,0,0
